15:38:16,589 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.994 | Ask: 126.995)| Slow 26015101 (Bid:126.986 | Ask: 126.992) | Delta: 0.0020000
15:38:16,714 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.986 | Ask: 126.996)| Slow 26015101 (Bid:126.986 | Ask: 126.992) | Delta: -0.0060000
15:38:27,391 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.991 | Ask: 126.992)| Slow 26015101 (Bid:126.983 | Ask: 126.989) | Delta: 0.0020000
15:38:27,614 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.991 | Ask: 126.992)| Slow 26015101 (Bid:126.988 | Ask: 126.996) | Delta: -0.0050000
15:38:35,363 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.002 | Ask: 127.003)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: 0.0030000
15:38:35,484 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.996 | Ask: 127.007)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0030000
15:38:35,500 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.001 | Ask: 127.002)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: 0.0020000
15:38:35,843 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.995 | Ask: 127.006)| Slow 26015101 (Bid:126.993 | Ask: 126.999) | Delta: -0.0040000
15:38:44,097 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.001 | Ask: 127.002)| Slow 26015101 (Bid:126.992 | Ask: 126.999) | Delta: 0.0020000
15:38:44,523 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.001 | Ask: 127.002)| Slow 26015101 (Bid:127 | Ask: 127.006) | Delta: -0.0050000
15:38:55,520 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.998 | Ask: 126.999)| Slow 26015101 (Bid:127 | Ask: 127.005) | Delta: -0.0070000
15:38:55,786 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.993 | Ask: 127.005)| Slow 26015101 (Bid:127 | Ask: 127.005) | Delta: -0.0120000
15:38:55,927 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.988 | Ask: 126.998)| Slow 26015101 (Bid:127 | Ask: 127.005) | Delta: -0.0170000
15:38:56,132 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.987 | Ask: 126.997)| Slow 26015101 (Bid:126.989 | Ask: 126.996) | Delta: -0.0090000
15:39:05,194 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.997 | Ask: 126.998)| Slow 26015101 (Bid:126.987 | Ask: 126.996) | Delta: 0.0010000
15:39:05,295 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:126.997 | Ask: 126.998)| Slow 26015101 (Bid:126.987 | Ask: 126.998) | Delta: -0.0010000
15:39:25,369 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.994 | Ask: 126.997)| Slow 26015101 (Bid:126.998 | Ask: 127.005) | Delta: -0.0110000
15:39:25,399 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.989 | Ask: 127.002)| Slow 26015101 (Bid:126.998 | Ask: 127.005) | Delta: -0.0160000
15:39:25,540 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.996 | Ask: 126.997)| Slow 26015101 (Bid:126.998 | Ask: 127.005) | Delta: -0.0090000
15:39:25,845 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.996 | Ask: 126.997)| Slow 26015101 (Bid:126.994 | Ask: 127.001) | Delta: -0.0050000
15:39:31,462 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.99 | Ask: 127.001)| Slow 26015101 (Bid:127.003 | Ask: 127.01) | Delta: -0.0200000
15:39:31,776 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.992 | Ask: 127.003)| Slow 26015101 (Bid:127.003 | Ask: 127.01) | Delta: -0.0180000
15:39:31,931 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.997 | Ask: 126.999)| Slow 26015101 (Bid:127.003 | Ask: 127.01) | Delta: -0.0130000
15:39:32,150 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.997 | Ask: 126.999)| Slow 26015101 (Bid:126.995 | Ask: 127.003) | Delta: -0.0060000
15:39:32,713 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:127.004 | Ask: 127.005)| Slow 26015101 (Bid:126.994 | Ask: 127.002) | Delta: 0.0020000
15:39:32,714 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.004 | Ask: 127.005)| Slow 26015101 (Bid:126.995 | Ask: 127.003) | Delta: 0.0010000
15:39:32,729 | Pair:USDJPY | Spread:0.001 | Fast 166666 (Bid:127.004 | Ask: 127.005)| Slow 26015101 (Bid:126.994 | Ask: 127.004) | Delta: 0.0000000
15:39:32,730 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:126.999 | Ask: 127.01)| Slow 26015101 (Bid:126.995 | Ask: 127.003) | Delta: -0.0040000
15:39:32,870 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.007 | Ask: 127.008)| Slow 26015101 (Bid:126.995 | Ask: 127.003) | Delta: 0.0040000
15:39:33,059 | Pair:USDJPY | Spread:0.001 | Fast LMAX (Bid:127.001 | Ask: 127.012)| Slow 26015101 (Bid:126.995 | Ask: 127.003) | Delta: -0.0020000
